ID,Page,Title,Severity,Type,Description,Impact,Effort,Priority Score,Recommendation
ISS-001,/library/hooks,Saved Hooks API Broken,Critical,Bug,"Page shows 'Failed to load hooks. Please try again.' - API endpoint not working",Users cannot access saved hooks feature at all,Medium,95,Fix API endpoint or remove feature from nav
ISS-002,/leaderboard,Leaderboard API Broken,Critical,Bug,"Page shows 'Failed to load leaderboard' - API endpoint failing",Gamification feature completely broken,Medium,95,Fix API endpoint and add proper error handling
ISS-003,/leaderboard,Wrong Auth State Display,Critical,Bug,"Sidebar shows 'Log in to see your stats' for logged-in users",Confusing UX - user thinks they're not logged in,Low,90,Fix auth state detection in leaderboard sidebar
ISS-004,/library/[id],TikTok Metadata Not Loading,Critical,Bug,"All analyses show '@unknown' author and 0 engagement metrics",Core value proposition degraded - no video context,High,90,Fix TikTok API integration or implement fallback
ISS-005,/analytics,Dead-End Coming Soon Page,High,UX,"Analytics page is just a placeholder with no actual functionality",Broken promise - feature advertised but not delivered,Low,85,Remove from nav or implement basic analytics from existing data
ISS-006,/,Dashboard Demotivating Empty State,High,UX,"New users see 'Viral Hits: 0' and 'Total Analyses: 0' prominently displayed",First impression shows failure metrics instead of potential,Medium,80,Hide zero-state cards or show encouraging messaging
ISS-007,/,No Onboarding Flow,High,UX,"New users land on dashboard with no guidance on what to do first",High drop-off risk - users don't know where to start,High,78,Add onboarding tooltip tour or modal for first-time users
ISS-008,/settings,Free Plan Limit Warning,Medium,UX,"'1 of 5 analyses remaining' shown but no clear upgrade value prop",Users see limit but may not understand Pro benefits,Low,70,Add inline plan comparison when limit is low
ISS-009,/library,Score Column Headers Cut Off,Medium,UI,"H/T/A score columns partially visible on right side of list",Users can't see full breakdown without hovering/scrolling,Low,65,Add tooltips or expand column width
ISS-010,/analyze,URL Format Hints Missing,Medium,UX,"No indication of which TikTok URL formats are accepted",Users may paste wrong format and get errors,Low,65,Add helper text showing accepted formats
ISS-011,/quick-analyze,Output Preview Missing,Medium,UX,"Users don't know what 'Analyze Niche' produces before clicking",Lower conversion - unclear value proposition,Medium,65,Add sample output preview below the form
ISS-012,/scripts,Generated Script History Missing,Medium,Feature,"No way to view previously generated scripts",Users lose valuable generated content,Medium,60,Add 'My Scripts' history section
ISS-013,/trends,No Audio Preview,Medium,Feature,"Users cannot hear trending sounds before using them",Reduced utility - users can't evaluate sounds,High,60,Add audio preview snippets for each sound
ISS-014,/calendar,Day Click Doesn't Add Event,Medium,UX,"Clicking on a calendar day doesn't open the add event modal",Standard calendar UX expectation not met,Low,55,Add click handler on calendar days
ISS-015,/analyze/upload,Upload Progress Missing,Medium,UX,"No progress indicator during video upload",Users unsure if upload is working for large files,Medium,55,Add upload progress bar with percentage
ISS-016,/library/[id],No 'Analyze Another' CTA,Medium,UX,"After viewing analysis no clear path to analyze next video",Momentum lost - user has to navigate back manually,Low,50,Add 'Analyze Another Video' button at bottom
ISS-017,/competitors,No Value Explanation,Medium,UX,"Empty state doesn't explain what competitor tracking shows",Users don't know why they should add competitors,Low,50,Add 'What you'll see' preview in empty state
ISS-018,/scripts,Niche Chips Don't Auto-Fill,Low,UX,"Clicking niche suggestion chips doesn't populate the input field",Minor friction - user expects auto-fill behavior,Low,45,Add onClick handler to populate input
ISS-019,/trends,No TikTok Sound Links,Low,Feature,"'Copy Name' less useful than direct link to TikTok sound",Extra steps for users to find sound on TikTok,Medium,45,Add direct TikTok sound page links
ISS-020,/,Success Rate Metric Unclear,Low,UX,"'Success Rate: Building baseline...' with no explanation",Users don't understand what this metric means,Low,40,Add tooltip explaining the metric
ISS-021,/library/[id],No Social Sharing,Low,Feature,"No way to share high-score analysis results",Missing viral/word-of-mouth opportunity,Medium,40,Add share buttons for scores 70+
ISS-022,/calendar,No Timing Integration,Low,Feature,"Calendar not connected to analysis timing scores",Missed opportunity to suggest best posting times,High,35,Integrate timing recommendations from analyses
ISS-023,/settings,Settings Links May Not Work,Low,Bug,"Billing/Notifications/Privacy/Help links untested",Potential broken links in settings,Low,35,Test and implement all settings sub-pages
ISS-024,/analyze,Example Video Missing,Low,UX,"No sample video for users to try before using their own",Higher barrier to first analysis,Low,30,Add 'Try with sample video' option
